Name,Address,Website,Type,lon,lat
元大-敦化,台北市敦化南路2段71號12樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9833/,券商,121.549145,25.030622
元大-中壢,桃園市中壢區中央東路7號3、4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9834/,券商,121.224041,24.957308
元大-員林,彰化縣員林鎮中山南路27號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9835/,券商,120.571050,23.955448
元大-北港,雲林縣北港鎮文化路40號4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9837/,券商,120.301889,23.568168
元大-豐原,臺中市豐原區圓環西路23號地下1樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9838/,券商,120.708849,24.250926
元大-林森,台南市林森路2段90號地下1樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983B/,券商,120.223406,22.987365
元大-上新莊,新北市新莊區思源路173號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983G/,券商,121.459657,25.045190
元大-學甲,台南市學甲區華宗路295號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983K/,券商,120.182554,23.229132
元大-木柵,台北市木柵路3段96號3樓之2,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983M/,券商,121.567320,24.988333
元大-大安,台北市和平東路2段347號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983N/,券商,121.546053,25.024875
元大-頭份,苗栗縣頭份鎮中華路932號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983U/,券商,120.907712,24.685859
元大-竹南,苗栗縣竹南鎮博愛街29號4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983V/,券商,120.878857,24.686608
元大-大里德芳,臺中市大里區德芳路一段63號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983W/,券商,120.690353,24.113157
元大-鳳山,高雄市鳳山區五甲二路642號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983Z/,券商,120.331121,22.595700
元大-竹東,新竹縣竹東鎮大林路121號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983f/,券商,121.089327,24.730103
元大-大雅,台中市大雅區大雅里民興街39號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983i/,券商,120.647589,24.225155
元大-仁愛,台北市大安區復興南路1段237號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/983j/,券商,121.543892,25.037398
元大-新店中正,新北市新店區中正路225之1號2樓、225號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/984C/,券商,121.539517,24.972989
元大-南勢角,新北市中和區景新街347號6樓之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/984E/,券商,121.512058,24.990981
元大-景美,台北市文山區景文街1號2樓之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/984H/,券商,121.541424,24.993604
元大-館前,臺北市中正區開封街1段2號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/984K/,券商,121.514390,25.045914
元大-大松山,台北市忠孝東路5段410號3樓、3樓之1、412號3樓之2,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9852/,券商,121.575128,25.040711
元大-南屯,台中市南屯區向上路1段580號1、2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9853/,券商,120.650710,24.146868
元大-台中文心,台中市北屯區文心路4段934之1號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9854/,券商,120.694337,24.170781
元大-花蓮,花蓮縣花蓮市國聯一路167號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9856/,券商,121.601384,23.989722
元大-東蘆,新北市蘆洲區中山一路10號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9857/,券商,121.480071,25.080658
元大-龍潭,桃園市龍潭區神龍路39號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9858/,券商,121.211778,24.863536
元大-新竹經國,新竹市經國路2段100號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9859/,券商,120.964550,24.812200
元大-鳳中,高雄市鳳山區中山西路105之1號1、2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/985C/,券商,120.352367,22.626812
元大-南京,台北市南京東路3段219號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9862/,券商,121.543104,25.052067
元大-新和平,台北市和平東路1段214號2樓、214號2樓之1、214號2樓之2、216號2樓、216號2樓之1及216號2樓之2,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9863/,券商,121.531728,25.026140
元大-樹板,新北市樹林區博愛街91號、93號5樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9866/,券商,121.426717,24.991503
元大-北成功,台北市民權東路6段160號2樓之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9867/,券商,121.591874,25.068678
元大-水湳,台中市西屯區文心路3段337號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9868/,券商,120.665768,24.173202
元大-新盛,新北市新莊區公園一路141號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9869/,券商,121.446502,25.038354
元大-基隆孝二,基隆市仁愛區孝二路86之5號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/986K/,券商,121.740596,25.130153
元大-忠孝,臺北市大安區忠孝東路4段300號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9871/,券商,121.556280,25.041155
元大-復北,台北市復興北路420號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9872/,券商,121.543836,25.062615
元大-西門,台北市中正區寶慶路69號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9873/,券商,121.509061,25.041934
元大-雙和,新北市中和區中和路232號2樓、地下1樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9874/,券商,121.506773,24.999510
元大-土城永寧,新北市土城區中央路2段165、167號1樓、2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9875/,券商,121.442132,24.976223
元大-赤崁,台南市中西區民生路1段165號4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9878/,券商,120.200413,22.993910
元大-板橋三民,新北市板橋區三民路2段40號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9879/,券商,121.479069,25.017654
元大-楊梅,桃園市楊梅區新成路125號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/987A/,券商,121.146902,24.910098
元大-新壢,桃園市中壢區中央西路1段120號15樓之2,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/987D/,券商,121.220252,24.958421
元大-鎮北,雲林縣斗六市文化路29號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9884/,券商,120.546707,23.711106
元大-鑫永和,新北市永和區永和路2段2號、8號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9888/,券商,121.514563,25.009951
元大-北員林,彰化縣員林鎮大同路2段283號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9889/,券商,120.573166,23.968897
元大-藝文,桃園市桃園區莊敬路1段375號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/988B/,券商,121.295980,25.023530
元大-三重,新北市三重區重新路3段111號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/988C/,券商,121.491014,25.059743
元大-永和,新北市永和區福和路139號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9891/,券商,121.521127,25.007700
元大-屏東,屏東縣屏東市廣東路690號2樓之1、3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9892/,券商,120.496303,22.685486
元大-大天母,台北市中山北路6段126號4樓、5樓部分,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9893/,券商,121.525004,25.105765
元大-北桃園,桃園市桃園區復興路96號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9894/,券商,121.315864,24.991132
元大-台南,台南市長榮路1段203號5樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9896/,券商,120.217928,22.984711
元大-土城,新北市土城區中央路1段255號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9897/,券商,121.445187,24.985541
元大-新莊,新北市新莊區新泰路246號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9898/,券商,121.446523,25.039645
元大-淡水,新北市淡水區中正路67號2、3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9899/,券商,121.440922,25.169566
元大-北投,台北市北投區北投路2段13號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989A/,券商,121.498570,25.131039
元大-台中中港,臺中市西區臺灣大道2段489號10樓之2,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989B/,券商,120.660124,24.156274
元大-板橋,新北市板橋區中山路1段10號6樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989C/,券商,121.460122,25.007961
