id,Name,Type,lon,lat
828,群益金鼎-民權,券商,120.679329,24.138023
829,群益金鼎-開元,券商,120.222382,23.008386
830,群益金鼎-經國,券商,120.965338,24.812712
831,群益金鼎-西松,券商,121.564007,25.051608
832,群益金鼎-士林,券商,121.529062,25.096177
833,群益金鼎-中港,券商,120.533761,24.263549
834,群益金鼎-信義,券商,121.577607,25.047512
835,群益金鼎-潭子,券商,120.701401,24.214283
836,群益金鼎-基隆,券商,121.742435,25.129791
837,群益金鼎-屏東,券商,120.487095,22.671327
838,群益金鼎-萬華,券商,121.494533,25.027387
839,群益金鼎-土城,券商,121.445126,24.985453
840,群益金鼎-北高雄,券商,120.301146,22.663309
841,群益金鼎-崇德,券商,120.685811,24.17989
842,群益金鼎-館前,券商,121.515124,25.044962
843,群益金鼎-南三重,券商,121.49839,25.059522
844,群益金鼎-高雄,券商,120.290875,22.623031
845,群益金鼎-台中,券商,120.65848,24.155729
846,群益金鼎-台南,券商,120.197068,22.995322
847,群益金鼎-新竹,券商,120.96284,24.806307
848,群益金鼎-彰化,券商,120.542261,24.082015
849,群益金鼎-三民,券商,120.341396,22.640677
850,群益金鼎-桃園,券商,121.311142,24.992508
851,群益金鼎-中壢,券商,121.226435,24.955347
852,群益金鼎-板橋,券商,121.479069,25.018974
853,群益金鼎-古亭,券商,121.520866,25.027142
854,群益金鼎-東門,券商,120.211394,22.991828
855,群益金鼎-南京,券商,121.530837,25.052253
856,群益金鼎-新店,券商,121.542927,24.978014
857,群益金鼎-新莊,券商,121.45346,25.051186
858,群益金鼎-中山,券商,121.525394,25.057734
859,群益金鼎-永和,券商,121.514628,25.007332
860,群益金鼎-東湖,券商,121.606273,25.073701
861,群益金鼎-建成,券商,120.687926,24.130483
862,群益金鼎-嘉義,券商,120.458659,23.474409
863,群益金鼎-天母,券商,121.53086,25.119016
864,群益金鼎-忠孝,券商,121.547624,25.041758
865,群益金鼎-台北,券商,121.513555,25.050861
866,群益金鼎-鳳山,券商,120.334515,22.603214
867,群益金鼎-內湖,券商,121.592175,25.082187
868,群益金鼎-大安,券商,121.550421,25.041705
869,群益金鼎-大甲,券商,120.617563,24.347723
870,群益金鼎-竹南,券商,120.8783,24.686643
871,群益金鼎-丹鳳,券商,121.418389,25.026423
872,群益金鼎-瑞豐,券商,120.329824,22.622413
873,群益金鼎-延平,券商,121.511517,25.056516
874,群益金鼎-宜蘭,券商,121.751451,24.754852
875,群益金鼎-國際證券,券商,121.568693,25.035962
876,群益期貨,券商,121.549184,25.028912
877,彰銀,券商,121.511679,25.042175
878,彰銀-七賢,券商,120.306492,22.634551
879,彰銀-台中,券商,120.662088,24.121981
880,福邦,券商,121.518144,25.045821
881,福勝,券商,121.441497,25.169491
882,臺銀證券,券商,121.513107,25.043913
883,臺銀-臺南,券商,120.196755,22.993304
884,臺銀-民權,券商,121.518512,25.062495
885,臺銀-新竹,券商,120.970253,24.80177
886,臺銀-臺中,券商,120.620493,24.349416
887,臺銀-高雄,券商,120.29537,22.619629
888,臺銀-金山,券商,121.526391,25.02825
889,德信,券商,121.532583,25.042014
890,德信-台北,券商,121.515124,25.044962
891,德信-中正,券商,120.674211,24.147801
892,德信-新營,券商,120.310047,23.30025
893,德信-三重,券商,121.486534,25.058489
894,德信-和平,券商,121.555443,25.033325
895,摩根大通,券商,121.566773,25.032586
896,聯邦商銀,券商,121.53511,25.052216
897,聯邦-高雄,券商,120.313796,22.629099
898,聯邦-嘉義,券商,120.347911,23.556287
899,聯邦-敦化,券商,121.549256,25.041822
900,聯邦-雙和,券商,121.516003,24.99762
901,聯邦-三重,券商,121.495268,25.061402
902,聯邦--大業,券商,121.312105,25.0137
903,聯邦--興中,券商,120.656824,24.116007
904,聯邦--富強,券商,120.230176,22.98081
905,豐農,券商,120.726736,24.254887
906,寶盛,券商,120.688888,24.163771
907,鑫豐,券商,121.51752,25.062705
908,台灣水泥股份有限公司,公司,121.523259,25.060676
909,亞洲水泥股份有限公司,公司,121.549255,25.026009
910,嘉新水泥股份有限公司,公司,121.522662,25.059488
911,環球水泥股份有限公司,公司,121.534574,25.052222
912,幸福水泥股份有限公司,公司,121.533454,25.058983
913,信大水泥股份有限公司,公司,121.5102,25.041657
914,東南水泥股份有限公司,公司,120.299715,22.622312
915,味全食品工業股份有限公司,公司,121.533257,25.053024
916,味王股份有限公司,公司,121.523094,25.058202
917,大成長城企業股份有限公司,公司,120.255107,23.043696
918,大西洋飲料股份有限公司,公司,121.490461,25.068168
919,台灣卜蜂企業股份有限公司,公司,121.533204,25.050449
920,統一企業股份有限公司,公司,120.24463,23.034185
921,愛之味股份有限公司,公司,120.431211,23.521401
922,泰山企業股份有限公司,公司,120.592781,23.848209
923,福壽實業股份有限公司,公司,120.558302,24.231511
924,台榮產業股份有限公司,公司,121.535844,25.051819
925,福懋油脂股份有限公司,公司,120.564183,24.122979
926,佳格食品股份有限公司,公司,121.54142,25.037512
927,聯華實業投資控股股份有限公司,公司,121.516949,25.051348
928,聯華食品工業股份有限公司,公司,121.509675,25.057659
929,大統益股份有限公司,公司,120.320278,23.213844
930,天仁茶業股份有限公司,公司,121.548289,25.041747
931,黑松股份有限公司,公司,121.554592,25.032948
932,興泰實業股份有限公司,公司,120.321765,22.690638
933,宏亞食品股份有限公司,公司,121.550427,24.974806
934,茂生農經股份有限公司,公司,121.520546,25.026572
935,其祥生物科技控股有限公司,公司,121.533164,25.048044
936,安心食品服務股份有限公司,公司,121.532864,25.054655
937,德麥食品股份有限公司,公司,121.45208,25.065971
938,漢來美食股份有限公司,公司,120.296032,22.619333
939,台灣塑膠工業股份有限公司,公司,120.335078,22.705711
940,南亞塑膠工業股份有限公司,公司,121.549415,25.056625
941,台灣聚合化學品股份有限公司,公司,121.56488,25.079561
942,華夏海灣塑膠股份有限公司,公司,121.56488,25.079561
943,三芳化學工業股份有限公司,公司,120.293082,22.644599
944,亞洲聚合股份有限公司,公司,120.406249,22.501664
945,台達化學工業股份有限公司,公司,121.56488,25.079561
946,台灣苯乙烯工業股份有限公司,公司,121.517613,25.033228
947,國喬石油化學股份有限公司,公司,121.549637,25.051919
948,聯成化學科技股份有限公司,公司,121.611418,25.055045
949,中國石油化學工業開發(股)公司,公司,120.340334,22.725902
950,上曜建設開發股份有限公司,公司,120.179999,22.990219
951,東陽實業廠股份有限公司,公司,120.214766,23.038405
952,大洋塑膠工業股份有限公司,公司,121.498024,25.031264
953,永裕塑膠工業股份有限公司,公司,120.25718,22.957751
954,地球綜合工業股份有限公司,公司,121.538116,25.05217
955,恒大股份有限公司,公司,121.525394,25.057734
956,恩得利工業股份有限公司,公司,121.466807,25.0454
957,台翰精密科技股份有限公司,公司,121.458913,25.06727
958,亞洲塑膠再生資源控股有限公司,公司,120.294802,22.660672
959,昭輝實業股份有限公司,公司,120.398687,24.06911
960,遠東新世紀股份有限公司,公司,121.549255,25.026009
961,新光合成纖維股份有限公司,公司,121.533728,25.052227
962,南洋染整股份有限公司,公司,121.285394,25.083233
963,宏洲纖維工業股份有限公司,公司,121.56684,25.080183
964,東和紡織股份有限公司,公司,121.555758,25.037406
965,廣豐實業股份有限公司,公司,121.29907,24.965038
966,嘉裕股份有限公司,公司,121.544743,25.038235
967,東華合纖股份有限公司,公司,121.532504,25.041194
968,新光紡織股份有限公司,公司,121.533728,25.052227
969,利華羊毛工業股份有限公司,公司,121.557075,25.041138
970,大魯閣實業股份有限公司,公司,120.687674,24.135473
971,福懋興業股份有限公司,公司,120.588147,23.727346
972,中福國際(股)公司,公司,121.497452,25.000782
973,勤益投資控股股份有限公司,公司,121.557328,25.041134
974,裕豐國際開發股份有限公司,公司,121.152557,24.964583
975,中和羊毛工業股份有限公司,公司,121.563267,25.041758
976,臺南紡織股份有限公司,公司,120.233033,22.988693
977,大東紡織股份有限公司,公司,121.548091,25.051562
978,名軒開發股份有限公司,公司,121.433944,25.076684
979,立益紡織股份有限公司,公司,121.508636,25.05384
980,力麗企業股份有限公司,公司,121.53287,25.055377
981,大宇紡織股份有限公司,公司,121.508478,25.052638
982,宏和精密紡織股份有限公司,公司,120.248579,23.022347
983,力鵬企業股份有限公司,公司,121.53287,25.055377
984,佳和實業股份有限公司,公司,120.293625,23.101009
985,年興紡織股份有限公司,公司,120.798831,24.624576
986,宏益纖維工業股份有限公司,公司,121.510211,25.053117
987,大將開發股份有限公司,公司,121.549145,25.030622
988,台灣富綢纖維股份有限公司,公司,121.508636,25.05384
989,集盛實業股份有限公司,公司,121.508636,25.05384
990,怡華實業股份有限公司,公司,121.572899,25.080646
991,宜進實業股份有限公司,公司,121.56684,25.080183
